epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.428,1.19434,2.5009,1.10579,0.0049,0.66176,0.42942,0.27513,0.92285,3.79031,1.03126,0.00064,0.00064,0.00064
2,392.67,1.20768,1.75693,1.11191,0.44736,0.17647,0.19421,0.1127,0.95351,3.44683,1.04753,0.00127426,0.00127426,0.00127426
3,602.098,1.18672,1.54428,1.1249,0.18367,0.5,0.26172,0.19772,0.84101,3.96369,0.9721,0.00188238,0.00188238,0.00188238
4,977.967,1.18923,1.36607,1.13208,0.6262,0.83763,0.69303,0.50411,0.8671,1.73275,0.98657,0.0018812,0.0018812,0.0018812
5,1177.86,1.19956,1.19269,1.11096,0.86751,0.83824,0.8705,0.63218,0.99228,1.58701,1.01237,0.0018416,0.0018416,0.0018416
6,1377.95,1.21677,1.13412,1.14368,0.86597,0.73529,0.83555,0.6355,0.83818,2.15023,0.96267,0.001802,0.001802,0.001802
7,1690.45,1.19377,1.03026,1.12558,0.94929,0.91176,0.97907,0.75571,0.79401,1.07612,0.93987,0.0017624,0.0017624,0.0017624
8,1891.91,1.15892,0.94759,1.11881,0.85965,0.91176,0.91559,0.70804,0.83758,1.15457,0.96052,0.0017228,0.0017228,0.0017228
9,2076.7,1.09932,0.91553,1.08048,0.95128,0.94118,0.97659,0.75524,0.82838,0.80131,0.95372,0.0016832,0.0016832,0.0016832
10,2259.05,1.09859,0.82517,1.071,0.96914,0.92364,0.98406,0.74371,0.84038,0.80871,0.97492,0.0016436,0.0016436,0.0016436
11,2631.99,1.10742,0.80774,1.09861,0.90101,0.98529,0.9569,0.79254,0.6304,0.68729,0.90469,0.001604,0.001604,0.001604
12,3130.59,1.10382,0.77618,1.09451,0.94529,0.94118,0.97871,0.79636,0.75123,0.68368,0.91657,0.0015644,0.0015644,0.0015644
13,3622.82,1.10154,0.74921,1.08228,0.94237,0.98529,0.99257,0.8156,0.74349,0.6151,0.92214,0.0015248,0.0015248,0.0015248
14,4135.83,1.06754,0.71828,1.05985,0.98075,0.98529,0.98611,0.80118,0.72178,0.53652,0.91525,0.0014852,0.0014852,0.0014852
15,4645.71,1.07901,0.71075,1.07048,0.9286,1,0.95813,0.78326,0.68883,0.59609,0.91275,0.0014456,0.0014456,0.0014456
16,4916.3,1.04493,0.68234,1.05702,0.95671,0.98529,0.97679,0.80269,0.65851,0.51226,0.90487,0.001406,0.001406,0.001406
17,5099.62,1.02284,0.66561,1.04472,0.95943,0.98529,0.98549,0.80289,0.65371,0.51949,0.89227,0.0013664,0.0013664,0.0013664
18,5280.54,1.02198,0.63111,1.02666,0.95758,0.99583,0.99253,0.83008,0.62434,0.49558,0.8847,0.0013268,0.0013268,0.0013268
19,5631.34,0.95773,0.59958,1.01451,0.95693,0.98028,0.97935,0.81028,0.64149,0.54686,0.89472,0.0012872,0.0012872,0.0012872
20,6166.24,0.96431,0.59438,1.01562,0.9851,0.97059,0.99389,0.82177,0.70415,0.47396,0.91071,0.0012476,0.0012476,0.0012476
21,6690.74,0.98361,0.60133,1.02551,0.97063,1,0.99384,0.84015,0.56854,0.46459,0.87215,0.001208,0.001208,0.001208
22,7219.65,0.97273,0.59961,1.01628,0.9576,0.99646,0.99309,0.83498,0.69048,0.47247,0.8931,0.0011684,0.0011684,0.0011684
23,7720.98,0.97432,0.58947,1.02017,0.9662,0.97059,0.99198,0.81127,0.70311,0.48513,0.91725,0.0011288,0.0011288,0.0011288
24,7976.6,0.95235,0.57879,1.00619,0.97685,0.98529,0.98324,0.84737,0.60573,0.46009,0.88099,0.0010892,0.0010892,0.0010892
25,8385.93,0.93992,0.57201,1.00448,0.97115,0.99018,0.99413,0.84674,0.64516,0.45886,0.87787,0.0010496,0.0010496,0.0010496
26,9014.62,0.98109,0.57254,1.01271,0.94427,0.99675,0.99299,0.84435,0.64697,0.41694,0.89256,0.00101,0.00101,0.00101
27,9530.72,0.95874,0.55217,1.024,0.95766,0.9978,0.98892,0.84459,0.66488,0.4399,0.90646,0.0009704,0.0009704,0.0009704
28,9788.93,0.93552,0.55356,1.00015,0.9441,0.99344,0.99254,0.85743,0.59048,0.40737,0.88697,0.0009308,0.0009308,0.0009308
29,10448.7,0.9228,0.53423,1.00245,0.95627,1,0.98626,0.82238,0.65956,0.40465,0.89568,0.0008912,0.0008912,0.0008912
30,11124.3,0.94827,0.54865,1.0086,0.97094,0.98265,0.99296,0.83258,0.61543,0.38968,0.87539,0.0008516,0.0008516,0.0008516
31,11815.8,0.91211,0.539,0.98881,0.94434,1,0.99187,0.86435,0.58233,0.39113,0.87525,0.000812,0.000812,0.000812
32,12217.6,0.96799,0.54332,1.0377,0.9708,0.97789,0.99443,0.84436,0.60717,0.39741,0.87545,0.0007724,0.0007724,0.0007724
33,12473.8,0.88314,0.50917,0.99287,0.95412,0.98529,0.99415,0.86615,0.57594,0.38339,0.87236,0.0007328,0.0007328,0.0007328
